"Málsnúmer";"Efni";"Ár";"Mánuður";"Ráðuneyti"
"FOR22010313";"Samþykki þingflokkanna v/framlagningar frumvarpa á Alþingi - 451. fundur / 152. löggjafarþing";"2022";"01";"Forsætisráðuneytið"
"FOR22010312";"Steering Committee for Human Rights 2022";"2022";"01";"Forsætisráðuneytið"
"FOR22010311";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010310";"Framsend erindi skv. 2. mgr. 7. gr. stjórnsýslulaga nr. 37/1993 og leiðbeiningarskylda 2. mgr. 14. gr. laga nr. 70/1996";"2022";"01";"Forsætisráðuneytið"
"FOR22010309";"Upplýsingabeiðni vegna samskipta forsætisráðherra og Íslenskrar erfðagreiningar vegna ákvörðunar Persónuverndar";"2022";"01";"Forsætisráðuneytið"
"FOR22010308";"Viðtalsbeiðni til ráðherra";"2022";"01";"Forsætisráðuneytið"
"FOR22010307";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010306";"Mannauðsmál";"2022";"01";"Forsætisráðuneytið"
"FOR22010305";"Beiðni um ávarp á International Women's Day Event";"2022";"01";"Forsætisráðuneytið"
"FOR22010304";"Ásjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010303";"Aðgangsstýring í fundakerfi ríkisstjórnar";"2022";"01";"Forsætisráðuneytið"
"FOR22010302";"Fyrirspurn til ráðuneytis um minnisvarða";"2022";"01";"Forsætisráðuneytið"
"FOR22010301";"6. fundur ráðherranefndar um ríkisfjármál";"2022";"01";"Forsætisráðuneytið"
"FOR22010300";"14. fundur ráðherranefndar um samræmingu mála";"2022";"01";"Forsætisráðuneytið"
"FOR22010299";"Fyrirspurn til ráðuneytis um framkvæmdaáætlun hinsegin fólks";"2022";"01";"Forsætisráðuneytið"
